timestamp,uuid,site,fixed_detected,event_type,sn
2024-12-07 14:32:41_973,8aef88dc-2530-43a0-bae3-89eea87d584d,site_2,detected,service changed,sftp-client
2024-12-07 14:32:41_973,032bbdd4-aa28-418c-8802-250943da4102,site_2,detected,service changed,ssh
2024-12-07 14:32:41_973,a13fdbc7-944c-4bb1-a21f-2273f0a63d8b,site_2,detected,service changed,sshv6
2024-12-07 14:32:45_517,1ed3822f-fe17-4714-8642-dec9dd972da4,site_5,fixed,service changed,mqtt
2024-12-07 14:32:46_522,5e2d5541-c503-4580-b9de-9d61f18ce864,site_5,fixed,service changed,web-proxy
2024-12-07 14:32:50_540,7c7872b3-9a97-4e98-8ca8-2ed1a8072a1c,site_7,fixed,c_vlan,0076KR8S77FO53P5
2024-12-07 14:32:56_560,032bbdd4-aa28-418c-8802-250943da4102,site_2,fixed,service changed,ssh
2024-12-07 14:32:57_562,8aef88dc-2530-43a0-bae3-89eea87d584d,site_2,fixed,service changed,sftp-client
2024-12-07 14:32:58_564,a13fdbc7-944c-4bb1-a21f-2273f0a63d8b,site_2,fixed,service changed,sshv6
2024-12-07 14:33:10_579,93a46709-10ec-4448-bc6d-0cbee59f3574,site_7,fixed,s_vlan,JICDZRAF72U9MZOB
2024-12-07 14:33:16_406,ea38e66b-1720-4b49-9123-d550acfb2531,site_7,detected,unregistered,RBQQLRUTJ1SV96ZX
2024-12-07 14:33:16_416,9843a700-4eb3-442b-b684-543ec6eb1cdb,site_7,detected,gemport,15FOFS277V2PN76Z
2024-12-07 14:33:16_430,e685e6ed-2eac-4165-afaa-32c009e6b2ce,site_7,detected,c_vlan,HOEQ8O9SUMPE80JN
2024-12-07 14:33:16_443,b146ee18-5670-4f64-9b2a-15fe91d713ad,site_7,detected,s_vlan,DB2DFWDL1CDZZOF0
2024-12-07 14:33:16_462,c5dcb1a1-e7b8-478f-a660-fbdf951f74de,site_7,detected,snmp_profile,WEDLT70M7OZIMZV5
2024-12-07 14:33:19_812,f9fb67a2-3577-4f58-bb23-2256fd3c8a1e,site_7,detected,service changed,ftp-client
2024-12-07 14:33:19_812,54508bcb-f8fe-4edd-bbcb-b53a3039120c,site_7,detected,service changed,ssh
2024-12-07 14:33:19_812,85e5859b-71a5-4047-8d16-3f3ca09362b5,site_7,detected,service changed,twamp
2024-12-07 14:33:34_677,f9fb67a2-3577-4f58-bb23-2256fd3c8a1e,site_7,fixed,service changed,ftp-client
2024-12-07 14:33:34_678,85e5859b-71a5-4047-8d16-3f3ca09362b5,site_7,fixed,service changed,twamp
2024-12-07 14:33:35_681,54508bcb-f8fe-4edd-bbcb-b53a3039120c,site_7,fixed,service changed,ssh
